Province_State,Country_Region,Last_Update,Confirmed,Deaths,Recovered
,AF,3/28/2020 23:05,110,4,2
,AR,3/28/2020 23:05,690,18,72
Australian Capital Territory,AU,3/28/2020 23:11,71,0,2
New South Wales,AU,3/28/2020 23:11,1617,8,4
Northern Territory,AU,3/28/2020 23:11,15,0,0
Queensland,AU,3/28/2020 23:11,625,1,8
South Australia,AU,3/28/2020 23:11,287,0,6
Tasmania,AU,3/28/2020 23:11,62,0,5
Victoria,AU,3/28/2020 23:11,685,3,191
Western Australia,AU,3/28/2020 23:11,278,2,28
,BE,3/28/2020 23:05,9134,353,1063
Alberta,CA,3/28/2020 23:10,542,2,0
British Columbia,CA,3/28/2020 23:10,884,17,0
Diamond Princess,CA,3/28/2020 23:10,0,1,0
Grand Princess,CA,3/28/2020 23:10,13,0,0
Manitoba,CA,3/28/2020 23:10,64,1,0
New Brunswick,CA,3/28/2020 23:10,51,0,0
Newfoundland and Labrador,CA,3/28/2020 23:10,120,0,0
Northwest Territories,CA,3/28/2020 23:10,1,0,0
Nova Scotia,CA,3/28/2020 23:10,110,0,0
Ontario,CA,3/28/2020 23:10,1144,18,0
Prince Edward Island,CA,3/28/2020 23:10,11,0,0
Quebec,CA,3/28/2020 23:10,2498,22,0
Recovered,CA,3/28/2020 23:10,0,0,466
Saskatchewan,CA,3/28/2020 23:10,134,0,0
Yukon,CA,3/28/2020 23:10,4,0,0
,CL,3/28/2020 23:05,1909,6,61
Anhui,CN,3/8/2020 5:19,990,6,984
Beijing,CN,3/28/2020 6:15,573,8,410
Chongqing,CN,3/23/2020 23:34,578,6,570
Fujian,CN,3/28/2020 1:35,337,1,295
Gansu,CN,3/28/2020 2:33,136,2,125
Guangdong,CN,3/28/2020 2:13,1467,8,1341
Guangxi,CN,3/20/2020 4:33,254,2,250
Guizhou,CN,3/18/2020 1:37,146,2,144
Hainan,CN,3/24/2020 4:29,168,6,168
Hebei,CN,3/23/2020 1:53,319,6,310
Heilongjiang,CN,3/26/2020 0:15,484,13,469
Henan,CN,3/28/2020 1:35,1275,22,1251
Hong Kong,CN,3/28/2020 12:50,561,4,112
Hubei,CN,3/28/2020 1:26,67801,3177,62098
Hunan,CN,3/14/2020 8:25,1018,4,1014
Inner Mongolia,CN,3/28/2020 2:19,94,1,74
Jiangsu,CN,3/27/2020 1:49,641,0,631
Jiangxi,CN,3/23/2020 1:27,936,1,934
